,Time,User,Tweet
0,2022-11-29 11:19:14+00:00,LifeStyleRTE,Snap happy: The return of digital cameras and their aesthetic 📸 @SarahMagliocco https://t.co/uSeCwODK1G
1,2022-11-29 11:19:05+00:00,BritishVogue,What you might not have noticed though is that Kylie has been building her own impressive collection of archival fa… https://t.co/QJELMh0yAw
2,2022-11-29 11:18:21+00:00,rte,What happens when you’re in a coma? Via @RTEBrainstorm https://t.co/auehOXFLbC
3,2022-11-29 11:17:38+00:00,beat102103,#Waterford's North Quays project is moving up a gear 🙌https://t.co/BAPs9W221u
4,2022-11-29 11:16:17+00:00,beat102103,"🔔| 200 jobs to be created as contract awarded for construction of Waterford's North Quays

More below 👇 https://t.co/c5EEhKTLjX"
5,2022-11-29 11:08:31+00:00,TeenVogue,she's on X Games mode with this one https://t.co/ic0LD7hZL0
6,2022-11-29 11:07:59+00:00,beat102103,"The Italian giants could do without this. ⚽️

https://t.co/afTPCAdf3o

#Juventus 
#SerieA"
7,2022-11-29 11:07:13+00:00,GaryBarlow,#ADifferentStage 2022 https://t.co/8lTNTXkoxN
8,2022-11-29 11:07:05+00:00,BritishVogue,Take EmRata's latest look: a lesson in bringing some much-needed exuberance to the colder months. https://t.co/R4Te2zOlcl
9,2022-11-29 11:04:44+00:00,BritishVogue,"From the major fashion looks to the chameleonic beauty, here is what we can expect from Jodie Turner-Smith’s turn a… https://t.co/98t3Naqhix"
10,2022-11-29 10:56:03+00:00,BritishVogue,"Beyoncé kept things pared-back for date night, wearing a navy blue pleated tennis skirt, strappy heels and a long-s… https://t.co/vde0OwrPIJ"
11,2022-11-29 10:47:22+00:00,davidguetta,RT @impaulsive: Grammy Award-winning DJ &amp; Producer @davidguetta on tomorrow’s episode 🎧🚨 https://t.co/hLZUysmWvW
12,2022-11-29 10:47:02+00:00,BritishVogue,"Even if you’ve never heard of Amélie Riech, you will have most likely already come across the designer’s bold jewel… https://t.co/hlmTEOvoUi"
13,2022-11-29 10:32:00+00:00,beat102103,"▶️ 'Escapism' from @raye &amp; @070shake is @itsDaveCronin's official Record of the Week!

#NowPlaying on Beat 
👉… https://t.co/K749Itd61P"
14,2022-11-29 10:30:05+00:00,BritishVogue,This week you may feel a little irritable or emotionally sensitive. https://t.co/UKbRWBd434
15,2022-11-29 10:29:00+00:00,rte,"This week behind the scenes at #ToyShowMusical the cast is getting fitted for their costumes! 🌟

Ceola, one of our… https://t.co/5O9PdqNqfw"
16,2022-11-29 10:20:20+00:00,BritishVogue,Lucy Boynton has traded her signature blonde chop last week for a gingered take on the year’s primary colour trend:… https://t.co/noOSPHiuYn
17,2022-11-29 10:18:21+00:00,TeenVogue,icon ✨ https://t.co/hAPWeK7DA6
18,2022-11-29 10:12:43+00:00,beat102103,"Ballyhale set their sights on Kilmacud Crokes! 🏆

https://t.co/tBSc7pSAtY

#clubchampionship #LeinsterGAA… https://t.co/nZzlRzxgmZ"
